Study_ID,tp,tn,fp,fn,disease,healthy,sens,spec,indexTest,referenceStandard,latentClass,pLatentClass1,pLatentClass2
Standley-2010,105,9,38,1,106,47,0.991,0.191,POC-CCA cassette,Kato-Katz,2,0.03,0.97
Standley-2010,105,9,38,1,106,47,0.991,0.191,POC-CCA reagent strips,Kato-Katz,2,0.03,0.97
Standley-2010,105,9,38,1,106,47,0.991,0.191,POC-CCA cassette,Kato-Katz,2,0.03,0.97
Adriko-2014,114,176,199,11,125,375,0.912,0.469,POC-CCA cassette,Kato-Katz,2,0.02,0.98
Adriko-2014,114,176,119,11,125,295,0.912,0.597,POC-CCA cassette,Kato-Katz (one stool),2,0.02,0.98
Adriko-2014,114,176,199,11,125,375,0.912,0.469,POC-CCA cassette,Kato-Katz,2,0.02,0.98
Sousa-Figueiredo-2013,117,257,179,39,156,436,0.75,0.589,POC-CCA cassette,Kato-Katz,2,0.00,1.00
Legesse-2007,130,41,59,21,151,100,0.861,0.41,POC-CCA cassette (one urine),Kato-Katz (one stool plus formol ether concetration),2,0.04,0.96
Legesse-2007,130,41,59,21,151,100,0.861,0.41,POC-CCA reagent strips,Kato-Katz,2,0.04,0.96
Sousa-Figueiredo-2013,133,429,316,37,170,745,0.782,0.576,POC-CCA cassette,Kato-Katz,2,0.00,1.00
Sousa-Figueiredo-2013,133,429,316,47,180,745,0.739,0.576,POC-CCA cassette,Kato-Katz,2,0.00,1.00
Tchuem-Tchuente-2012-study3,136,50,37,19,155,87,0.877,0.575,POC-CCA cassette,Kato-Katz,2,0.35,0.65
Tchuem-Tchuente-2012-study3,136,50,37,19,155,87,0.877,0.575,POC-CCA cassette (one urine),Kato-Katz (three stools),2,0.35,0.65
Koukounari-2013,136,50,37,19,155,87,0.877,0.575,POC-CCA,Kato-Katz (More than one Stool),2,0.35,0.65
Coulibaly-2011-study3,138,10,3,13,151,13,0.914,0.769,POC-CCA cassette (three urine),Kato-Katz (three stools),1,0.62,0.38
Coulibaly-2011-study3,138,11,2,16,154,13,0.896,0.846,POC-CCA cassette,Kato-Katz,1,0.77,0.23
Coulibaly-2011-study3,138,11,2,16,154,13,0.896,0.846,POC-CCA cassette (one urine),Kato-Katz (three stools),1,0.77,0.23
Tchuem-Tchuente-2012-study2,145,43,26,31,176,69,0.824,0.623,POC-CCA cassette,Kato-Katz,2,0.19,0.81
Tchuem-Tchuente-2012-study2,145,43,26,31,176,69,0.824,0.623,POC-CCA cassette (one urine),Kato-Katz (three stools),2,0.19,0.81
Koukounari-2013-study1,148,2,2,17,165,4,0.897,0.5,POC-CCA cassette (one urine),Kato-Katz (three stools),2,0.27,0.73
Koukounari-2013-study1,148,2,2,17,165,4,0.897,0.5,POC-CCA cassette,Kato-Katz,2,0.27,0.73
Tchuem-Tchuente-2012-study3,149,27,60,6,155,87,0.961,0.31,POC-CCA cassette (three urine),Kato-Katz (three stools),2,0.07,0.93
Coulibaly-2013,149,27,60,6,155,87,0.961,0.31,POC-CCA,Kato-Katz (More than one Stool),2,0.07,0.93
Adriko-2014,155,153,140,21,176,293,0.881,0.522,POC-CCA cassette,Kato-Katz,2,0.39,0.61
